graph_num,val_roc,val_ap,test_roc,test_ap
99,0.76,0.6862,0.7,0.8251
98,0.76,0.6862,0.7,0.8251
97,0.526,0.5345,0.4455,0.4974
96,0.6097,0.5975,0.5983,0.5672
95,0.5,0.5833,0.84,0.8762
94,0.4969,0.5202,0.5972,0.6261
93,0.4969,0.5202,0.5972,0.6261
92,0.74,0.7385,0.405,0.4533
91,0.74,0.7385,0.405,0.4533
90,0.5,0.5213,0.5903,0.6202
89,0.74,0.7385,0.405,0.4533
88,0.74,0.7385,0.405,0.4533
87,0.5,0.5213,0.5903,0.6202
86,0.5,0.5213,0.5903,0.6202
85,0.5,0.5213,0.5903,0.6202
84,0.6626,0.6771,0.6319,0.5852
83,0.5,0.5213,0.5903,0.6202
82,0.6612,0.6402,0.587,0.5926
81,0.6612,0.6402,0.587,0.5926
80,0.6612,0.6402,0.587,0.5926
79,0.6612,0.6402,0.587,0.5926
78,0.6612,0.6402,0.587,0.5926
77,0.6612,0.6402,0.587,0.5926
76,0.6612,0.6402,0.587,0.5926
75,0.4867,0.5388,0.3694,0.4409
74,0.4867,0.5388,0.3694,0.4409
73,0.4867,0.5388,0.3694,0.4409
72,0.4867,0.5388,0.3694,0.4409
71,0.6548,0.6291,0.6011,0.5893
70,0.5329,0.6495,0.5261,0.5148
69,0.5329,0.6495,0.5261,0.5148
68,0.686,0.7288,0.4301,0.4762
67,0.5329,0.6495,0.5261,0.5148
66,0.5329,0.6495,0.5261,0.5148
65,0.5329,0.6495,0.5261,0.5148
64,0.5261,0.6468,0.5323,0.5199
63,0.4737,0.5044,0.3594,0.4115
62,0.7769,0.8063,0.595,0.5824
61,0.7769,0.8063,0.595,0.5824
60,0.5207,0.5748,0.6749,0.7473
59,0.7769,0.8063,0.595,0.5824
58,0.7686,0.7975,0.6116,0.5877
57,0.4793,0.5573,0.6711,0.7409
56,0.4793,0.5573,0.6711,0.7409
55,0.7769,0.8063,0.595,0.5824
54,0.7769,0.8063,0.595,0.5824
53,0.4444,0.6667,0.5556,0.5327
52,0.6694,0.685,0.6389,0.6865
51,0.5913,0.5883,0.52,0.5779
50,0.712,0.745,0.6593,0.6305
49,0.7166,0.7477,0.6587,0.6299
