graph num,val_loss,val_roc,val_ap,test_loss,test_roc,test_ap
500,2.0183,0.4807,0.4787,2.0171,0.4952,0.4877
495,2.0183,0.4807,0.4787,2.0171,0.4952,0.4877
497,2.0183,0.4807,0.4787,2.0171,0.4952,0.4877
496,2.0183,0.4807,0.4787,2.0171,0.4952,0.4877
128,2.0191,0.5242,0.5279,2.019,0.4949,0.4938
420,1.9453,0.5175,0.5366,1.9459,0.4948,0.5101
294,1.981,0.5238,0.528,1.9807,0.494,0.4913
413,1.9022,0.5059,0.5228,1.9028,0.4936,0.5046
51,1.8916,0.5182,0.5388,1.9333,0.4933,0.5138
296,1.9594,0.5182,0.533,1.9512,0.493,0.4905
57,1.8915,0.5204,0.5376,1.8946,0.4929,0.4886
56,1.8915,0.5204,0.5376,1.8946,0.4929,0.4886
291,1.9465,0.5194,0.5417,1.936,0.4929,0.4867
640,1.9314,0.3378,0.4047,1.8159,0.4928,0.4972
405,1.6326,0.573,0.5586,1.9896,0.4921,0.4983
400,1.6326,0.573,0.5586,1.9896,0.4921,0.4983
402,1.6326,0.573,0.5586,1.9896,0.4921,0.4983
490,1.8398,0.5023,0.5679,1.8405,0.492,0.5077
482,2.0184,0.5737,0.6799,2.0185,0.4919,0.4959
136,1.9458,0.5122,0.5279,1.9463,0.4919,0.4915
301,1.9797,0.5218,0.5278,1.9787,0.4918,0.4882
41,1.893,0.5187,0.5388,1.9453,0.4916,0.5117
42,1.893,0.5186,0.5386,1.9453,0.4916,0.513
34,1.893,0.5186,0.5386,1.9453,0.4916,0.5131
35,1.8931,0.5186,0.5381,1.9462,0.4916,0.5115
1,1.9418,0.5071,0.5151,1.9528,0.491,0.4887
706,2.0159,0.6135,0.6497,2.0182,0.4908,0.4896
412,1.9017,0.5112,0.5373,1.9026,0.4902,0.5001
410,1.9017,0.5112,0.5373,1.9026,0.4902,0.5001
65,1.9427,0.5232,0.5185,1.9345,0.4895,0.4809
66,1.9427,0.5232,0.5185,1.9345,0.4895,0.4809
404,1.7128,0.5673,0.5593,1.9309,0.4894,0.4998
401,1.7128,0.5673,0.5593,1.9309,0.4894,0.4998
403,1.7128,0.5673,0.5593,1.9309,0.4894,0.4998
64,1.942,0.5232,0.5203,1.9338,0.4894,0.4803
69,1.9427,0.5232,0.5185,1.9345,0.4894,0.4803
411,1.8695,0.5149,0.546,1.8883,0.4894,0.5046
415,1.8695,0.5149,0.546,1.8883,0.4894,0.5046
416,1.8695,0.5149,0.546,1.8883,0.4894,0.5046
591,1.8517,0.5835,0.6792,1.8868,0.4884,0.4991
67,1.9379,0.5229,0.52,1.9294,0.4876,0.4819
290,1.9658,0.5171,0.5259,1.9575,0.4872,0.4834
370,1.9019,0.5152,0.5415,1.9022,0.4866,0.4846
